# emberfall roster — 10 enemies + 1 BOSS (last row). <slug>\t<subject>
cinder-imp	a small mischievous red fire imp with smoldering cracks in its skin, horns and claws
magma-golem	a hulking golem of glowing forge iron metal fresh from the furnace, glow from black to white through orange and yellow, lumbering fists
hellhound	a snarling skeleton black hound with ember-glowing eyes and a cracked charred skull. Purple and black accent gradient
lava-slug	a fat molten slug creature, a blackened crust over glowing lava, oozing
ember-bat	a charred leathery bat with glowing ember eyes, wings spread, screeching, bright red to purple gradient skin
ash-wraith	a gaunt hooded wraith of ash and cinder with glowing cracks and claws. purple glowing bone skull and claws
flame-skull	a floating charred purple obsidian skull with molten purple cracks and bright glowing yellow glowing eye sockets, make of lava.
molten-knight	an armored knight in blackened cracked plate glowing molten at the seams, heavy sword. Deep purple black accented armor. Skeleton head.
salamander	a fat fire lizard with a blackened glowing-cracked hide, snarling
coal-brute	a stocky brute of smoldering coal chunks with glowing seams, fists raised
infernal-tyrant	a MASSIVE horned fire-demon BOSS of molten-cracked muscle with huge clawed hands, towering and imposing, ancient armor
