reward	an ornate white gift present with a ribbon
pity	an ornate yellow gift present with a ribbon
reroll	a pair of recycle arrows forming a loop, green-to-teal gradient
order	a rolled parchment order scroll
star	a gold five-point star
timer	an hourglass
locked-unknown	a question mark badge for a locked/unknown entry
combat-power	a 3/4 view armoured mailed fist — the universal COMBAT POWER icon
limit-potion	a round flask with a cork stopper and purple/gold fluid inside
merge	a single chromatic iridescent glass jigsaw puzzle piece
